"Year","Grain","Region","Avg_Production","High_Count","Low_Count"
1973,"Oats","United States","659.136","0","0"
1953,"Corn","United States","2881.801","1","0"
1913,"Corn","United States","2272.54","1","0"
1900,"Oats","United States","945.483","0","0"
1886,"Oats","United States","682.312","0","0"
1959,"Sorghum","United States","555.441","0","0"
1885,"Oats","United States","674.151","0","0"
1889,"Oats","United States","831.047","0","0"
1985,"Oats","United States","518.49","0","0"
1948,"Sorghum","United States","131.384","0","1"
1994,"Corn","United States","10050.52","1","0"
1890,"Oats","United States","609.122","0","0"
1867,"Barley","United States","23.85","0","1"
1969,"Corn","United States","4687.057","1","0"
1879,"Corn","United States","1751.984","1","0"
1973,"Corn","United States","5670.712","1","0"
2013,"Sorghum","United States","392.331","0","0"
2022,"Corn","United States","13650.531","1","0"
1971,"Corn","United States","5646.26","1","0"
2001,"Barley","United States","248.329","0","1"
1931,"Oats","United States","1124.232","1","0"
1898,"Barley","United States","98.174","0","1"
1875,"Corn","United States","1450.276","1","0"
1960,"Barley","United States","429.005","0","0"
1891,"Barley","United States","94.16","0","1"
1970,"Oats","United States","915.236","0","0"
1955,"Barley","United States","403.065","0","0"
2016,"Sorghum","United States","480.261","0","0"
1966,"Sorghum","United States","714.992","0","0"
1949,"Corn","United States","2946.206","1","0"
1908,"Barley","United States","170.78","0","1"
2008,"Corn","United States","12043.203","1","0"
1949,"Oats","United States","1220.118","1","0"
1888,"Oats","United States","773.139","0","0"
1883,"Barley","United States","57.126","0","1"
1915,"Oats","United States","1435.27","1","0"
2012,"Barley","United States","218.99","0","1"
1891,"Oats","United States","836.789","0","0"
1925,"Barley","United States","192.466","0","1"
1961,"Barley","United States","392.441","0","0"
1991,"Sorghum","United States","584.86","0","0"
2015,"Oats","United States","89.455","0","1"
1946,"Barley","United States","265.059","0","1"
1943,"Sorghum","United States","109.536","0","1"
1875,"Barley","United States","32.812","0","1"
1975,"Oats","United States","638.96","0","0"
1964,"Barley","United States","386.059","0","0"
1993,"Barley","United States","398.041","0","0"
2013,"Corn","United States","13830.704","1","0"
1987,"Corn","United States","7131.3","1","0"
2008,"Barley","United States","239.072","0","1"
2021,"Corn","United States","15017.788","1","0"
1876,"Oats","United States","327.212","0","1"
1935,"Barley","United States","288.667","0","1"
1950,"Sorghum","United States","233.536","0","1"
1895,"Corn","United States","2534.762","1","0"
2021,"Oats","United States","39.836","0","1"
1959,"Barley","United States","420.203","0","0"
1929,"Oats","United States","1112.949","1","0"
1979,"Corn","United States","7928.139","1","0"
1939,"Barley","United States","278.193","0","1"
2021,"Barley","United States","120.593","0","1"
1980,"Sorghum","United States","579.343","0","0"
1910,"Oats","United States","1106.162","1","0"
1977,"Oats","United States","752.774","0","0"
1924,"Oats","United States","1416.12","1","0"
1958,"Corn","United States","3356.205","1","0"
1976,"Oats","United States","540.441","0","0"
1880,"Corn","United States","1706.673","1","0"
1944,"Sorghum","United States","184.978","0","1"
1914,"Barley","United States","177.712","0","1"
1884,"Barley","United States","67.919","0","1"
1970,"Barley","United States","416.091","0","0"
1945,"Barley","United States","266.994","0","1"
1934,"Oats","United States","544.247","0","0"
1882,"Corn","United States","1755.272","1","0"
2007,"Sorghum","United States","497.445","0","0"
1896,"Barley","United States","97.479","0","1"
1995,"Sorghum","United States","458.648","0","0"
1975,"Sorghum","United States","754.354","0","0"
1921,"Barley","United States","132.702","0","1"
1898,"Corn","United States","2351.323","1","0"
1970,"Corn","United States","4152.243","1","0"
1944,"Oats","United States","1149.24","1","0"
1956,"Corn","United States","3075.336","1","0"
1922,"Barley","United States","152.908","0","1"
2019,"Barley","United States","172.409","0","1"
1933,"Barley","United States","152.839","0","1"
1971,"Barley","United States","462.423","0","0"
1899,"Oats","United States","937.173","0","0"
1945,"Sorghum","United States","96.063","0","1"
1930,"Oats","United States","1274.592","1","0"
1957,"Oats","United States","1289.88","1","0"
1901,"Oats","United States","799.812","0","0"
1976,"Barley","United States","383.007","0","0"
2010,"Barley","United States","180.241","0","1"
1990,"Sorghum","United States","573.303","0","0"
2003,"Oats","United States","144.383","0","1"
1950,"Corn","United States","2764.071","1","0"
1925,"Oats","United States","1405.268","1","0"
1910,"Barley","United States","142.419","0","1"
1937,"Oats","United States","1176.744","1","0"
2018,"Barley","United States","151.269","0","1"
1871,"Oats","United States","306.218","0","1"
1953,"Oats","United States","1153.205","1","0"
1978,"Barley","United States","454.759","0","0"
1879,"Oats","United States","415.44","0","0"
1965,"Barley","United States","393.055","0","0"
